dropped,Mean,SE,Mean/SE,pct
instrShare,0.0001,0.0005,0.2936,0.1688
spendRate,0.0002,0.0005,0.3651,0.2312
testScoreMissing,0.0003,0.0003,1.1235,0.3887
expPerStudent,0.0004,0.001,0.4424,0.5623
admRateMissing,0.0005,0.0004,1.1483,0.6257
admRate,0.001,0.0008,1.233,1.2253
adminShare,0.001,0.0006,1.6285,1.3108
division,0.0015,0.0004,3.9015,1.8814
spending,0.0015,0.0009,1.6489,1.8814
admRatePair,0.0022,0.0009,2.4367,2.7571
ugTotal,0.0046,0.0009,5.2242,5.7618
testScore,0.0055,0.0011,5.2285,6.9796
upPell,0.0092,0.0007,13.6973,11.577
