term,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
Intercept,-0.7042,0.1529,-4.6047,0.0,-1.0039,-0.4045
C(division)[T.D-I FCS],0.0176,0.0142,1.2393,0.2152,-0.0102,0.0454
C(division)[T.D-I no football],0.0261,0.0144,1.8114,0.0701,-0.0021,0.0543
C(division)[T.D-II],0.0259,0.0154,1.6844,0.0921,-0.0042,0.056
C(division)[T.D-III],0.0676,0.0179,3.7707,0.0002,0.0324,0.1027
spendRate,0.1096,0.111,0.9872,0.3235,-0.108,0.3272
np.log(expPerStudent),0.0524,0.0094,5.5494,0.0,0.0339,0.0709
instrShare,0.0253,0.0468,0.5409,0.5886,-0.0665,0.1172
adminShare,-0.1061,0.0922,-1.1502,0.2501,-0.2869,0.0747
upPell,-0.358,0.0339,-10.5601,0.0,-0.4244,-0.2915
testScore,0.0004,0.0,8.073,0.0,0.0003,0.0004
testScoreMissing,0.0409,0.0104,3.9274,0.0001,0.0205,0.0614
np.log(ugTotal),0.0604,0.0079,7.6113,0.0,0.0449,0.076
admRate,-0.1804,0.0209,-8.6467,0.0,-0.2212,-0.1395
admRateMissing,-0.1532,0.0258,-5.9387,0.0,-0.2038,-0.1026
