ETF,R2,n,estimate_Tariff,estimate_govtSpending,estimate_interestRate,estimate_adjustedBalance,estimate_Volatility,estimate_taxReceipts,estimate_Inflation,estimate_Mkt_RF,estimate_SMB,estimate_HML,p.value_Tariff,p.value_govtSpending,p.value_interestRate,p.value_adjustedBalance,p.value_Volatility,p.value_taxReceipts,p.value_Inflation,p.value_Mkt_RF,p.value_SMB,p.value_HML
XLC,0.8078243835753013,86,6.1211560452748e-4,0.025098440047764098,1.1679836003461765,0.03315405974348397,-1.1823573927309554e-4,0.026226897073837255,-0.9621903293282587,1.0718858635707367,-0.2982741626175696,-0.1448823050430775,0.5459249088659023,0.28214445450092013,0.11575363101901934,0.31507858827377255,0.785436921732719,0.44528152639725094,0.26070309035689115,1.0888645194330962e-28,0.05383451394164654,0.07575085801339823
XLY,0.7023539837904914,320,-9.980753824888379e-4,0.0728748960740796,-0.6460668063825543,0.017573826596498324,-9.85392830493286e-5,-9.856049471136598e-4,-0.960818594212459,1.0406725878528804,-0.4295411137217141,-0.1032250708457739,0.12650572848454955,0.027582533818924983,0.4401667119674313,0.35297217361194566,0.7799906783333104,0.9591402956092893,0.05499927725126625,1.2380787800944152e-70,9.062066968950477e-4,0.2600615493956684
XLP,0.4688131255555149,320,-0.0013550413178558195,0.012553696217340298,-0.824188550326692,-0.017921815263768088,1.3692178238247226e-4,0.014038791792554623,-0.5322624000634338,0.5234299963120623,-0.6086940024986658,0.14211650284947974,0.03589959505633776,0.7687229652435951,0.3845565713251665,0.3466599985205949,0.6651242773833858,0.5359080408630242,0.08447350149925706,2.1203004345408835e-34,3.593070190865448e-12,0.04335559808875443
XLE,0.5975883657688429,320,1.9118832230166036e-4,0.25704328672380344,-0.43264606875658707,-0.022497194579524923,4.979763223560801e-4,-0.10913076920522194,1.3844143302079923,1.1114710405382748,0.09917950882677434,0.9431377588619051,0.8723323664457299,4.0670917019665026e-5,0.6782976397831451,0.438636530821231,0.4832507476583783,0.005341463858976265,0.014800720411310576,7.629184137806177e-29,0.4629126648534361,1.1291079410489425e-9
XLF,0.7565266223682894,318,-6.019392105331109e-4,0.024865816939545055,-1.147127773465131,0.052810893844911354,1.62389249960963e-4,0.0518052252379055,-0.3765688443378486,1.198058753051691,-0.49056747912049364,0.6749419373143022,0.594258414692826,0.3329477129089826,0.1689937475748716,0.04676170919234881,0.7094728130710377,0.07241916696773285,0.5207991862879862,2.380308222724462e-64,1.4207996030258558e-6,1.911809988201421e-17
XLV,0.5804451588477556,320,0.0033774767305540677,0.04814427841670758,-0.7841689271054038,0.007254408407241816,-3.070315698114884e-5,-0.01828292620937013,-0.16408075776799777,0.6803771416800614,-0.36193507310171813,-0.10527784423869112,1.0708131586920541e-6,0.1281355264990375,0.1957460055120575,0.7081209452606774,0.9358386760173883,0.4086181137218382,0.6329040791381959,1.2809425228297888e-51,7.464515616699072e-5,0.04333286707625192
XLI,0.7984314548145292,320,0.001023363501009631,-0.025529932475287127,-0.65600938897926,-0.006508095847396765,1.5372487212182012e-4,-0.009713173299025733,-0.48464911026228,1.1193722453208221,-0.30079755895409976,0.28852311758095667,0.14019398005602077,0.24667885869643183,0.11317724224819208,0.7295765875521776,0.5747467718019521,0.6237767441401518,0.16048486786126143,2.55012754023278e-100,0.002358723808749272,5.708882225354656e-7
XLB,0.7374952468230386,320,0.0015673525849983828,0.027650767694496748,-0.29500639035121157,-0.016734598146085817,-1.867174435046502e-4,-0.034213897474996854,-0.3683739633834814,1.170780799829961,-0.28433260103518915,0.3910378504233757,0.04265198165400734,0.463989744854316,0.6312500622533261,0.4529871199047939,0.6104280059964766,0.13821049847664907,0.4255102330829237,1.4164002998116575e-82,0.013032975427239472,4.554945103708912e-6
XLRE,0.6006457471515361,119,4.312483272035555e-4,0.018735731891090745,1.7528857241851175,-0.021641613300573362,6.825140914880167e-4,-0.0015990344017464044,0.8718096270964704,0.8724104447584166,0.045282881541042326,-0.13836553600917198,0.6480563862682907,0.5772741852810965,0.032306135032296374,0.4643561563131029,0.2752190596355349,0.9670478201921269,0.25640364544778493,1.0433698412439217e-15,0.823541217256223,0.16279918872582777
XLK,0.8102134995856719,320,-0.00400244222349864,0.011628651073050358,-1.1341215318997204,-0.00823353289991571,-7.12402100622383e-5,-0.0073534594471922335,0.18306884368515994,1.1492004717720197,-0.3887087356368878,-0.9056893038507502,2.363355747965791e-7,0.6296341352217076,0.21713151482511928,0.6961011913842707,0.8004539968619007,0.7375306246283302,0.6431376950975175,1.5843871845511053e-71,3.2485910885905284e-4,1.0640485923642347e-15
XLU,0.274913265970817,320,3.281274080314544e-4,0.012763450802342166,-0.7722115853039659,0.0068306500800272224,-5.728839735187202e-4,0.029729939504532597,-0.35917808875328244,0.4987149664338023,-0.5100896833886019,0.15615206850008553,0.6750955828998999,0.769226803813433,0.3758687220597221,0.7866661371650158,0.26859630025638925,0.2439698870362945,0.46081905362025455,5.213028576448217e-14,3.372265225899166e-5,0.0701568802633938
